EBIT,Industries,Company Name,Editor,Sustainability report,Craftsmanship and production,Educational Development,Community Development and Employment,Emergency Relief and Basic Needs,Food Security and Sustainable Agriculture,Focus
29.68,"Construction and Engineering*, Other Commercial Services",Galliford Try Holdings plc,MC,https://www.gallifordtry.co.uk/reports/2024/213800MR6DRHCJIV8113-2024-06-30-T01_preview.xhtml ,True,False,False,False,False," charitable and community causes including Crash, the UK construction industry charity for the homeless"
234.59,"Leisure Facilities, Movies, Music and Entertainment*",Games Workshop Group PLC,MC,,False,False,False,False,False,
1.78,Human Capital Services*,gap personnel Holdings Ltd,MC,,True,False,False,False,False,
399.65,Air*,Gatwick Airport Limited,MC,https://www.gatwickairport.com/company/reports/sustainability-reports.html,False,True,False,True,False,Our funding and grants aim to share the benefits of the airport ​with the ​communities most affected by our operations.
53.53,"Building Products*, Other Commercial Products",Genuit Group plc,MC,https://www.genuitgroup.com/wp-content/uploads/2024/10/Sustainability-Report-2024.pdf?utm_source=chatgpt.com,True,False,False,False,False,"Corporate Patron of CRASH, pledging to provide support from across the group to aid their construction and refurbishment of hospices, shelters and move-on accommodation that can make such a difference to the lives of people who are homeless, and children and adults receiving hospice care."
26.65,"Animal Husbandry*, Other Pharmaceuticals and Biotechnology",Genus PIc,MC,https://www.genusplc.com/sustainability/case-studies/charitable-donations-policy/?utm_source=chatgpt.com,True,False,False,False,True,"aim to support registered charities, not-for profit or non-governmental organisations based in local communities and/or with a connection to food security and agriculture."
40.74,Road*,GKN Automotive Limited,MC,https://www.gknautomotive.com/globalassets/downloads/sustainability/2024/gkn-automotive-sustainability-progress-report.pdf?utm_source=chatgpt.com,True,True,True,False,False,set a target for all sites to have at least one charitable partnership that aligns with our strategic purpose by 2025
89.19,"Application Software, Broadcasting, Radio and Television*, Movies, Music and Entertainment",Global Media Group Services Limited,MC,https://global.com/wp-content/uploads/2023/11/Global-Goodness-Report-2023.pdf,False,True,True,True,False,"Global’s Make Some Noise is Global’s very own charity. That has raised more than £34 million, helped to change over 175,000 lives across the UK, supported over 440 community projects, and given a lifeline to hundreds of small, local charities delivering vital work."
85.12,"Information Services (B2C), Media and Information Services (B2B)*",Progressive Digital Media Group PLC,MC,https://wp-globaldata-2023.s3.eu-west-2.amazonaws.com/media/2024/03/GlobalData-Plc-Annual-Report-Accounts-2023.pdf,False,False,False,False,False," employees take responsibility for identifying which initiatives to engage with each year, with their choices supported by senior management. particular focus on charities that help with mental well-being, education and empowering women in education."
86.81,Publishing*,GlobalData PLC,MC,https://wp-globaldata-2023.s3.eu-west-2.amazonaws.com/media/2024/03/GlobalData-Plc-Annual-Report-Accounts-2023.pdf,False,True,False,False,False," employees take responsibility for identifying which initiatives to engage with each year, with their choices supported by senior management. particular focus on charities that help with mental well-being, education and empowering women in education."
32.9,"Construction and Engineering, Other Commercial Services*",Goodwin PLC,MC,https://www.goodwin.co.uk/wp-content/uploads/2023/08/64434-Goodwin-Directors-Report-2023-final.pdf?utm_source=chatgpt.com,True,False,False,False,False,"Donations by the Group for charitable purposes amounted to £91,000 (2022: £71,000). The majority of these were made to local communities within the Group’s operating environments."
192.07,"Beverages, Distributors/Wholesale, Restaurants and Bars*",Greene King PLC,MC,https://www.annualreports.com/HostedData/AnnualReportArchive/g/LSE_GNK_2019.pdf?utm_source=chatgpt.com,False,True,False,False,False,pubs hold fundraising events and provide support for local charities that are important to their team members and customers
216.8,"Food Products*, Specialty Retail",Greggs plc,MC,https://a.storyblok.com/f/162306/x/3d6a84d1e5/the-greggs-pledge-2023-annual-sustainability-report.pdf,False,False,False,False,True,Suport local communities with breakfasts
33.05,"Automotive, Distributors/Wholesale*, Other Commercial Products",GSF Car Parts Limited,MC,,False,False,False,False,False,
4550.87,"Drug Discovery, Pharmaceuticals*",GSK PIc,MC,https://www.gsk.com/media/11009/esg-performance-report-2023.pdf?utm_source=chatgpt.com,False,False,False,True,False,"All donations made by GSK globally for charitable purposes including cash, product, in kind donations, the value of time donated via volunteering and the management costs associated with charitable programmes."
2367.02,"Personal Products, Pharmaceuticals*",Haleon plc,MC,https://www.haleon.com/content/dam/haleon/corporate/documents/our-impact/haleon-rbr-2023-final.pdf,False,True,False,False,True,"providing local and global charitable donations, including funding, product donations and our employees’ time through volunteering initiatives."
57.89,Automotive*,"Halfords Group, PLC",MC,halfords-ar-2024-web.pdf,False,False,True,False,False,"support charities and communities across the UK, through charitable donations, gifts in kind and time. (mainly gift bikes also overseas)"
793.79,"Multi-line Insurance, National Banks*",HBOS PLC,MC,https://bankofscotlandfoundation.org/sites/default/files/2024-09/BoS_Foundation_Annual_Report_and_Accounts_2023_Final.pdf,True,True,True,False,True,Charitable giving through the bank of Scotland founfation
426.74,Asset Management*,Hargreaves Lansdown PLC,MC,2024-Report-and-Financial-Statements.pdf,False,True,True,True,True,"organises fundraising events, which have raised money for our Charity of the Year, in addition to supporting humanitarian crises in alignment to the Disasters Emergency Committee appeals (Charity of the Year to be chosen by colleagues)"
71.22,"Automotive Insurance, Commercial/Professional Insurance, Multi-line Insurance*",Hastings Group Holdings Ltd.,MC,Hastings_Sustainability_Report_2024_FINAL.pdf,False,True,True,False,False,"Uk homless / menatlhealth, Community Grants scheme enables colleagues, community groups, schools and charities to apply for one-off assistance, which can be practical, professional or financial."
1924.16,Air*,Heathrow Airport Limited,MC,https://www.heathrow.com/content/dam/heathrow/web/common/documents/company/heathrow-2-0-sustainability/reports/2023_Heathrow_Sustainability_Report.pdf,False,False,False,False,False,Heathrow Community Trust is an independently run grant-making charity that has funded projects that improve quality of life for communities near
398.37,"Drug Discovery, Pharmaceuticals*",Hikma Pharmaceuticals PLC,MC,https://www.hikma.com/media/unxpgids/hikma_sr2023.pdf,False,False,False,True,True,"international medicine donation programm, food donations"
131.15,"Building Products*, Other Commercial Services",Hill & Smith Holdings PLC,MC,https://hsgroup.com/media/qcwblv51/31789-hill-and-smith-ar23-240424-webready.pdf,True,False,False,True,False,"programme matches charitable funds raised by our employees on an application basis, Disaster Committee, Alzheimer’s Society and the Downs Syndrome Association of Tulsa"
40.08,"Home Furnishings, Other Commercial Services, Specialty Retail*",Hillarys Blinds Ltd,MC,,False,False,False,False,False,
145.88,Consumer Finance*,Hitachi Capital (UK) PLC,MC,https://www.mitsubishihccapital.co.uk/media/3ihbqraj/annual-report-and-financial-statements-year-ended-31-march-2024.pdf,False,True,True,True,False,"match funding and corperate donations, "
