level_0,index,registered_charity_number,charity_name,latest_income,latest_expenditure,charity_activities,charity_contact_address1,charity_contact_email
0,377068,1198483,FAITHFUL COMPANIONS OF JESUS CIO,105440563,4910777,"The FCJ Society's Charitable Trust aims to support such charitable purposes as shall advance the religious and other charitable work of the members of the Society: These works fall into the following main areas: education on various levels, including sharing FCJ Charism and ethos with educators and young adults ; spiritual development; parish work; overseas missions and care of the elderly.",Gumley House Convent F C J,mfitzpatrick@fcjgeneralate.org
1,361573,1185265,NATIONAL OCEANOGRAPHY CENTRE,85401000,85202000,"NOC is a marine science research and technology institution which undertakes integrated sea level science, coastal and deep ocean research and technology development. NOC contribute to the advancement of scientific knowledge of the ocean and support education and training of scientists, engineers and marine professionals and engaging the public with the science of the ocean and its implications.",NATIONAL OCEANOGRAPHY CENTRE,
2,43610,211014,THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,67565000,68826000,"Education, policy & awareness activities engage the public in the role of science, engineering & technology in enhancing peoples' lives. IET gathers & distributes knowledge content via a variety of channels to a global audience, drawing on the unique strengths of its membership. Membership & professional development focuses on career long professional development & registration of individuals.",THE INSTITUTION OF ENGINEERING AND,governance@theiet.org
3,300386,1120102,LEEDS TRINITY UNIVERSITY,64229877,59794676,"The establishment, conduct and development of a Roman Catholic institution for the advancement of education for the benefit of the public.",Leeds Trinity University,hello@leedstrinity.ac.uk
4,131599,310283,MILLFIELD,64058000,57859000,The education of children and young people within Millfield School and Millfield Prep School (including Pre-Prep); the development of associated extra-curricular activites; the operation of educational and recreational courses.,MILLFIELD,shaw.m@millfieldschool.com
5,89957,266518,AGA KHAN FOUNDATION (UNITED KINGDOM),58790000,58131000,"The AKF(UK) is an affiliate of the International Aga Khan Foundation and part of the Aga Khan Development Network (AKDN).The principal activity of the Charity is to promote and provide for the advancement of education, health, rural development, the environment and support to civil society organisations for the public benefit.",Aga Khan Centre,front.office@akdn.org
6,279393,1102949,AHMADIYYA MUSLIM JAMAAT INTERNATIONAL,56549000,52958000,"Our activities are as follows:- the propagation of Islam worldwide;- the building of mosques, hospitals and schools;- scientific research and development;- the award of scholarships for higher education;- the provision of emergency relief in cases of natural disasters; and- assistance to the deserving and needy.",22 DEER PARK ROAD,saf@amjinternational.org
7,235728,1073332,WJEC CBAC LIMITED,56354197,51575260,"-Provide high quality qualifications, resources & support for teachers and learners-Develop, promote & provide appropriate systems of assessment and examinations -Support & enhance the development of the Welsh language & culture in Wales-Nurture & develop talents through arts and education by promoting, supporting and advancing the development of Youth Arts in Wales.",WJEC,ian.morgan@wjec.co.uk
8,304148,1124127,CATCH 22 CHARITY LIMITED,53489000,56933000,"To promote opportunities for the development,education and support of young people in need to lead purposeful, stable and fulfilled lives and to promote safer, crime free communities for the benefit of the public.Catch22 is a social business, a not for profit business with a social mission, working with over 33,000 people acrossevery stage of the social welfare cycle.",Catch22 Charity Ltd,nigel.richards@catch-22.org.uk
9,254682,1077216,COMPASSION UK CHRISTIAN CHILD DEVELOPMENT,51135710,50100506,"To advance the christian faith in all or any part of the world.The relief of poverty, suffering or distress amongst children.The education and training of children.The development of children to social and spiritual maturity.",Compassion House,info@compassionuk.org
10,371485,1191572,Bird Song Trust,49000479,229337,The charity makes grants for the purposes of (a) the advancement of education and health through the development of treatments and therapeutic interventions for eating disorders (including anorexia nervosa) and (b) the advancement of education and learning through scholarship in relation to early Judeo-Christian art and culture and its impact on European society.,CHARLES RUSSELL SPEECHLYS LLP,bex@vogelgezangfoundation.org.uk
